sn,text,Sentiment
199,To win over hubby's parents; Palghar couple dump newborn at their door,Negative
200,On the phone and driving? Be prepared for Rs 1;000 penalty,Negative
201,Mumbai: Puppy swallows shaving blade; undergoes life-saving surgery,Negative
202,Malad wall collapse: Six-month-old Ayush survives,Negative
203,Water level comes down at Peppara & Neyyar dams,Negative
204,Question mark over appointment of DU South Campus dean,Negative
205,Not all glitter and glory. We suffer great mental and physical stress: Mollywood actors,Negative
206,4 MLAs supporting JJP resign from Haryana assembly,Negative
207,With his arm gone; how will we survive?,Negative
208,Commercial sites in Ahmedabad still buzzing with mosquitoes,Negative
209,Paliencar's exit ruled out for now: Vijai Sardesai,Negative
210,Rajasthan HC quashes cattle smuggling case against Pehlu Khan; sons; driver,Negative
211,3 Dangerous Open Manholes,Negative
212,Chief electoral officer seeks report on minister's 'Puthana' remark,Negative
213,Telangana government repaying debt through liquor sale: Congress,Negative
214,SSC GD Constable PET; PST exam date 2019 released; check details here,Negative
215,Protest against Citizenship (Amendment) Act postponed,Negative
216,Surat: Another birthday bash busted for cutting cake with sword,Negative
217,West Bengal holding back urban India's quest for ODF status,Negative
218,Intermittent fasting: Is it an effective way for weight loss?,Negative
219,Final decision after missing link road survey: NMC,Negative
220,Plan of three direct int'l flights from Pune yet to take off,Negative
221,Police arrest 170 over Jammu and Kashmir protests,Negative
222,Karnataka high court to cops: What action have you taken against noisy pubs?,Negative
223,This Barmer centre provides free NEET coaching for poor students,Negative
224,Anti-quota stir: Beed students stage demo,Negative
225,Imran Khan welcomes Donald Trump's offer of mediation on Kashmir; says it won't be resolved bilaterally,Negative
226,Pak efforts to link Kashmir with Afghan peace process is 'reckless and irresponsible': Afghanistan,Negative
227,2 Bangladeshis held for double murder,Negative
228,National selectors could be given a three-year term,Negative
229,High court orders judicial inquiry into 'illegal' custody of 3 men,Negative
230,Indirapuram colony lost its roads in March; waits for relief; gets none,Negative
231,Sreekumar's claims reaction to dept action: Commission,Negative
232,Permission sought to install statue of Karunanidhi,Negative
233,Municipal Corporation of Gurugram writes to mall on illegal advertisements,Negative
234,Longer you live; higher the chances of dying of big cancer,Negative
235,Dumped silt,Negative
236,Doing our duty; says Drishti as waste piles up on Salcete coast,Negative
237,Mazhya Navryachi Bayko written update; July 31; 2019: Shanaya's mother asks Popatrao to pay Rs 10 crore,Negative
238,Metro brings 2 years of hell,Negative
239,Gatarache sanpani rastyavar,Negative
240,Village residents demand restarting of tanker service for drinking water,Negative
241,Jharkhand last got a 'new' medical college 50 years back,Negative
242,Trafic violations still increases in the city,Negative
243,Bareilly: Attacked by monkey; 40-year-old woman falls off terrace; dies,Negative
244,BWSSB slaps Rs 3 lakh monthly water bill on resident,Negative
245,Oscar-nominated actor Robert Forster passes away at 78,Negative
246,Assam Police drive to stop spread of NRC rumours,Negative
247,Post 'The Sky is Pink' promotions; Priyanka Chopra jets off to the USA,Negative
248,Countrywide NRC inevitable: Rajnath Singh,Negative
249,To improve Telangana government schools; people need to do their bit,Negative
250,Pedestrian walkways converted to roads,Negative
251,Pune: Panel may announce new FTII entry test fees in January,Negative
252,TCS to increase full-time positions overseas; spends Rs 11;330 crore on subcontractors,Negative
253,Cheeta Camp and BARC: Netas struggle to bridge the two worlds,Negative
254,Gandhinagar: Failed bank robbery; prosecution failure,Negative
255,PIL filed against SEZ firms alleging labour violations,Negative
256,BMTC plans to convert entire fleet to electric by 2030,Negative
257,292 cops martyred in India from September 2018 to August 2019: Police,Negative
258,Pune: Humans and leopards tend to get dangerously close,Negative
259,Kerala: Cleaning & widening of culverts crucial to check waterlogging,Negative
260,Kamal Haasan is shooting for Indian 2 in a city hotel,Negative
261,25 million litre sewage water enters Panchganga untreated,Negative
262,Age fraud seriously detrimental to health of Indian cricket: Rahul Dravid,Negative
263,Diljit Dosanjh says he still gets nervous to talk to Kareena Kapoor Khan,Negative
264,Dog goes missing; breeder announces Rs 1 lakh reward in Bengaluru,Negative
265,BJP raps Odisha govt on safety; security of women in state,Negative
266,Kolkata: Two-wheeler comes under train engine; explodes,Negative
267,Residential Area being polluted drastically.,Negative
268,Residents of Rajpur road complain of rash driving,Negative
269,Another season of woes for holy Pamba,Negative
270,Why not allow Right Turn,Negative
271,10% stormwater drain link work still pending in Chennai,Negative
272,School didn't inform us about boy's fatal jump; alleges kin,Negative
273,Suspect's birthday bash: Five Bhandup cops suspended,Negative
274,Peace of House broken over 'amaithi poonga' remark,Negative
275,Goa govt hopes for private players after jetties commissioned,Negative
276,Domlur footpath filled with garbage,Negative
277,Kolkata: Cops 'evict' hawkers; urge Railways to announce Sealdah diversions,Negative
278,Two leaders' arrest: Telangana high court dismisses habeas corpus pleas,Negative
279,Water contamination claims life of child in Mathura,Negative
280,Two arrested in Kothamangalam robbery case in Kochi,Negative
281,Rajasthan: 13-year-old raped in Nagaur district; no arrests yet,Negative
282,Now; you can check air quality details using new web feature,Negative
283,UP: Cop inaction; social ostracism force rape survivor to hang self,Negative
284,Cops raise funds for colleague with cancer,Negative
285,At this bar; AI decides who's being served,Negative
286,SDMC dumping garbage on main road,Negative
287,Four get hope as brain-dead patient's kin donate organs,Negative
288,Reprogramming the night life in Kerala,Negative
289,Bengaluru: Woman loses Rs 10 lakh to fake gold sellers,Negative
290,Spurious drug racket busted in Patna; medicines worth Rs 7 lakh seized,Negative
291,Aradhana Mishra only woman to be CLP leader in assembly,Negative
292,No way except to meet an accident,Negative
293,Bad example,Negative
294,CM's proposal of new parking spots; free golf cart rides in Mussoorie draws mixed response,Negative
295,SoftBank invests $275m in Lenskart,Negative
296,Blooming car washing busines on footpath,Negative
297,Cattle smuggling on the rise in north AP,Negative
298,Identify spots where trash is burnt: UPPCB,Negative
299,GARBAGE DUMP OPP GOLF VIEW NANAKRAMGUDA,Negative
300,Man held for sexually harassing woman on train,Negative
301,Paper cup manufacturers urge Kerala government to withdraw ban,Negative
302,Chandigarh municipal corporation issues 320 notices; asks vendors to shift by Nov 30,Negative
303,Temple's boundary wall razed for four-laning of Kartarpur corridor highway,Negative
304,NSUI chief blackens bust of VD Savarkar 'installed' in Delhi University,Negative
305,CAA hits Goa art fest; AV display blanked out; artwork locked up,Negative
306,Malappuram: Drug case accused fires at excise officer; held,Negative
307,Char Dham priests stage dharna against proposed formation of shrine board,Negative
308,pollution of environment,Negative
309,Bhopal: FDA collects egg samples to test of purity,Negative
310,High power charges will make discoms' life difficult: Andhra Pradesh CM,Negative
311,Kochi: Excise identifies three more suspects in MDMA seizure case,Negative
312,Collector writes to AP government over road widening,Negative
313,Yeh Rishtey Hain Pyaar Ke update September 2: Kuhu threatens Kunal; Abir and Mishti sense something wrong between them,Negative
314,Mumbai: Clean-up marshals pose as cops; extort from collegians,Negative
315,Hyderabad: 5 held in rape case and 9 for mediation,Negative
316,St Joseph's Old Boys set to have a 'ball' after 2 decades,Negative
317,Avoid making bulls wait in queues for hours: Health minister,Negative
318,Kolkata: Patient found hanging on Pavlov Hospital's fourth-floor staircase,Negative
319,Supreme Court to hear Maharashtra plea seeking extension of ashram demolition deadline today,Negative
320,THIS is why Shahid Kapoor is raring to come back on the sets after his last outing 'Kabir Singh',Negative
321,As Goa realises ODF target; toilets remain pipe dream,Negative
322,Ahmedabad: In 10 days; mosquitoes breed 1;596 citizen pleas,Negative
323,Missing art director murdered; body found in Virar nullah,Negative
324,When ma is as old as grandma,Negative
325,NCP; BJP workers clash during Kagal municipal council meeting; fierce poll battle on cards,Negative
326,Chennai: Cops bust online gambling racket; nab 2; seize Rs 53 lakh,Negative
327,This govt could have delivered; had Siddaramaiah wanted it,Negative
328,Maharashtra govt jobs: Six lakh aspirants apply for 1;809 jobs of talathis @mahapariksha.gov.in,Negative
329,Kuthiyala faces 100 questions in 6 hours,Negative
330,Manufacturing outlook in Q1 worst in NDA years: Survey,Negative
331,ICC World Cup 2019 Preview; India vs West Indies: India look to shrug off Afghan stutters by dominating Windies,Negative
332,Telangana: SCR to run 68 special trains for Sankranti,Negative
333,'Salt-roti' journo may not be held; hints UP minister,Negative
334,LPG transport operators begin indefinite strike across south India,Negative
335,Meerut: 4 held for Rs 50 lakh theft,Negative
336,Being rude to the driver could cost you a CEO post,Negative
337,Kerala to experience isolated heavy rain in next few days,Negative
338,BJD polls likely in later part of year,Negative
339,Eight get jail for kidnapping boy 10 years ago in Hassan,Negative
340,In UP; adopt 4 stray cattle; earn up to Rs 3;600 per month,Negative
341,Odisha speaker asks former MLAs to vacate government quarters,Negative
342,School students take to fish farming,Negative
343,Takers few; GDA slashes flat rates in Madhuban,Negative
344,Post verdict; allies could get more bargaining power,Negative
345,Many losing finger tips while cleaning bike chain,Negative
346,Rapid Metro rides could become cheaper; panel to review fares,Negative
347,Gurugram: Man dies after cousins give him drink laced with poison,Negative
348,Non-collegiate cutoffs for BA(P) following DU's rising trend,Negative
349,One rape case every 6 hours in Bihar: Report,Negative
350,Rajasthan HC asks woman to return to US for child's custody,Negative
351,Bengal doctors call off strike after Mamata meeting,Negative
352,'Bhoot'- part one: The Haunted Ship' poster: The Vicky Kaushal and Bhumi Pednekar starrer will make a chill run down your spine,Negative
353,Cardamom - for lung health,Negative
354,Karnataka crisis: Speaker's ruling triggers debate,Negative
355,pit2623393bsbeenclosedperfectly,Negative
356,Rajasthan: Health dept overlooks food adulterators; cops step in,Negative
357,West Bengal: Tech varsity takes augmented reality route to train teachers,Negative
358,Attempt to murder added to assault case,Negative
359,Ahmedabad: DPS East responds to CBSE notice,Negative
360,Police block 12-year-old girl from visiting Sabarimala temple,Negative
361,Jaipur: Pocso court orders action against senior cops in false rape case,Negative
362,Illegal migration from Bangladesh a worry: Shah,Negative
363,clogging sewage;no garbage tank;unhygienic toilet,Negative
364,'It's a coincidence that Chhapaak trailer is releasing on World Human Rights Day;' says Meghna Gulzar,Negative
365,Constable kills his lover's live-in friend; dumps body in well,Negative
366,Pune: iCloud tracking system helps police trace stolen iPhone,Negative
367,Government has restructured police dept: CM Nitish Kumar,Negative
368,Bengaluru: Man blackmails ex-GF with photos; nabbed,Negative
369,Allahabad high court grants UP government two days to file status report,Negative
370,18-month-old drowns after falling into bathing tub at home,Negative
371,Assam college houses inmates of flooded jail,Negative
372,Baby thrown into well by depressed kin; dies,Negative
373,Delhi cops: CISF man offered help to IAS officer after framing hubby,Negative
374,Potehole,Negative
375,Pavement damaged within 2 month .,Negative
376,Bigg Boss 13: Sidharth Shukla cries his eyes out reading his mother's letter; apologises to Asim,Negative
377,Weather-hit fishermen seek compensation like farmers,Negative
378,5 days after killing youth; attackersnow shoot at his mother and uncle,Negative
379,Businessman; associate held for murder,Negative
380,After the Bollywood stars' drug controversy; an open letter for Karan Johar pops up on Twitter,Negative
381,Hopes dashed? Centre not keen on turmeric board in Nizamabad,Negative
382,Lack of streetlights on kallanai road,Negative
383,CARS AND CABS NOT ALLOWED IN LOKPURAM COMPLEX,Negative
384,Assam tea fetches record Rs 75;000 for a kilo,Negative
385,Akshaye Khanna: I want to live the most low profile life that I can in this profession,Negative
386,Crime capital: Rise in murders; rapes; car thefts this year,Negative
387,illegal dumping of mud and muck on the road,Negative
388,Ahmedabad: 20 shops sealed for strewing garbage,Negative
389,AIIMS set for major revamp,Negative
390,Man assaults wife for giving birth to a girl; FIR registered,Negative
391,DANGEROUS RAILWAY OFFICE BUILDINGS,Negative
392,Rajkot: Man arrested for chopping wife's ears; nose,Negative
393,Security not up to mark in Nashik railway station,Negative
394,Oppo A5; F11 Pro get a price cut of up to Rs 2;000,Negative
395,IndiGo plane makes emergency landing after fuel leak,Negative
396,Hyderabad: Amberpet wall collapse death toll rises to five,Negative
397,U-turn: BBMP to call tenders for whitetopping,Negative
398,PMRDA seeks 7.68 TMC from 15 dams in district for 20 years,Negative
399,Kulfi Kumar Bajewala written update; June 28; 2019: Sikander's lookalike and impostor Chandan is arrested,Negative
400,After breather; onion inches back to Rs 120/kg,Negative
401,Ten storeyed illegal Dongri building to be razed on Monday,Negative
402,Police jeep overturns during chase; five injured,Negative
403,Water tank collapses in Palghar; 3 hurt,Negative
404,Centre tightens monitoring of funds utilisation by state,Negative
405,Nagpur: Six in Rishi Khosla murder slapped with MCOCA,Negative
406,Schools told to dispel myths surrounding immunisation,Negative
407,Two held for making fake Army papers in Rajasthan,Negative
408,Rain wreaks havoc in UP; claims 16 lives in 24 hours,Negative
409,ED questions D K Shivakumar's daughter for eight hours,Negative
410,Supreme Court to hear plea of 10 rebel Karnataka MLAs today,Negative
411,What's on Priya Varrier's Hyderabad wishlist,Negative
412,Rayagada murders: Orissa high court seeks retrial of nine death-row convicts,Negative
413,Delhi: Car parked to feed pigeons on flyover causes fatal crash,Negative
414,In Prakasam; people desert villages for a drop of water,Negative
415,monitoring committee moves sc against govt plan to regularise 1500 unauthorised colonies in delhi,Negative
416,In Gwalior; a fake thana that extorted locals; truckers,Negative
417,TV actress Gehana Vasisth is recovering after cardiac arrest,Negative
418,Gujarat woman's 'half-nude' pics shared on social media,Negative
419,Exclusive! Prabhas to organise a special screening of 'Saaho' for his alleged girlfriend Anushka Shetty?,Negative
420,Ahmedabad gets rain while Cyclone Maha dissipates in Arabian Sea,Negative
421,Delhi: Air takes severe hit; index touches 446,Negative
422,Delhi: After 3 years in jail; convict in sex assault held not guilty,Negative
423,Cuddalore: Landlady beats her worker's daughter to death,Negative
424,Illegal parking of rickshaws leave pedestrians fuming in Pune,Negative
425,Andhra Pradesh: Absconding former MLA may surrender at Eluru court,Negative
426,Merc accident: Driver wasn't drunk; say cops,Negative
427,2 history-sheeters killed in police encounter in Meerut,Negative
428,ABVP continues protest over hostel facilities,Negative
429,Tourism industry expects extra kick,Negative
430,PCMC will submit action plan to MPCB,Negative
431,Minister Bima Bharti's minor son thrashed in Madhepura district,Negative
432,'Electric' fence at ex-mayor's house doesn't give a shock,Negative
433,UP Police booked most traffic violators in Noida & Varanasi,Negative
434,80-year-old woman killed in house collapse in Salem,Negative
435,Kashmiri Pandits hold rally in US to support revocation of Article 370,Negative
436,Citizenship (Amendment) Act protest: Net clipped in West Bengal pockets to curb violence,Negative
437,Rajasthan: Cops go to arrest goons; get thrashed,Negative
438,Man objects to 'sleazy' message; lynched,Negative
439,Off the list; villagers in mad dash rue 'wasted' sacrifice,Negative
440,Vice-Prez urges children to inculcate scientific temper,Negative
441,Handloom weavers want govt to restart incentives,Negative
442,Lucknow: Police boast 1;000km daily patrol; residents sceptical,Negative
443,Man who sent letter threatening to bomb railway stations arrested,Negative
444,Mystery death of 70 cattle heads in Mohali village,Negative
445,unhygenic surrounding,Negative
446,Malaysian firm asks HC to stall release of Darbar,Negative
447,Dowry death: 7-mnth pregnant woman found hanging,Negative
448,kolhapur nh4 to reopen today to take emergency supplies,Negative
449,Two smugglers held; 13 red sanders logs seized,Negative
450,Safdarjung doctors on strike after colleagues assaulted,Negative
451,Madhya Pradesh: BJP polls delayed as consensus eludes 7 districts,Negative
452,Bihar: GST on electric car battery chargers reduced to 5%,Negative
453,Man arrested for rape; murder of mentally challenged woman,Negative
454,Delhi: Construction choking river; EPCA to tell Supreme Court,Negative
455,NIA targeting Muslim youth: MLAs,Negative
456,Floods: Government refutes media reports on pending compensation appeals,Negative
457,Assault guns & drink in hand; BJP MLA seen mouthing expletives in viral video,Negative
458,Warangal: Man who raped minor gets life,Negative
459,School set ablaze on eve of BDC polls,Negative
460,BJP doesn't believe in democracy: Rajasthan CM Ashok Gehlot,Negative
461,Legal body seeks report on water supply in prison,Negative
462,why bollywood is game for sports biopics,Negative
463,Set up coconut DPCs instead of copra; farmers tell TN government,Negative
464,Opposing every good project hampers government functioning: CM Pramod Sawant,Negative
465,Tree trunk lying on road claims teen driver's life in Delhi,Negative
466,Four held for assaulting elderly woman in Kochi,Negative
467,Poor state of garbage disposal - VEHICLES DUMPED,Negative
468,CST road opposite Mercedes showroom; main road con,Negative
469,Mumbai: Western Railway; Central Railway to be hit due to maintenance block,Negative
470,Delhi: Winds calm; air already near very poor category,Negative
471,Marriage can be dissolved if it breaks down irretrievably: Supreme Court,Negative
